URL	Author	datePublished	claimReviewed	reviewBody	title	ratingValue	bestRating	alternativeName
httpsapublicaorgtrucohapaisesmaiscorruptosqueobrasil	httpsapublicaorg	2016-08-05	corrupção exist mundo inteiro maior menor nível existem país nívei corrupção pior	juiz sérgio moro audiência pública comissão especi pl estabelec medida combat corrupção afirm existem país corrupto brasil	país corrupto brasil agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucobolsonarousainformacaofalsaaocriticarplanodegovernodopt	httpsapublicaorg	2018-10-05	proposta plano governo pt alguma apena desmilitarização polícia militar obviament outro item revogação lei anistia	jair bolsonaro psl afirm vídeo facebook plano governo pt proposta desmilitarização polícia militar revogação lei anistia	bolsonaro usa informação falsa criticar plano governo pt agência pública	1.0	8	falso
httpsapublicaorgtrucochecamososprincipaiscandidatosavicepresident	httpsapublicaorg	2018-09-14	paulo fecha sete sala aula dia	manuela dvila pcdob candidata vicepresident chapa fernando haddad pt publicação facebook afirm paulo fecha sete sala aula dia	checamo principai candidato vicepresident agência pública	6.0	8	inconclusivo
httpsapublicaorgtrucolulaacertasobrecortedetemernobolsafamiliamasprogramacresceu	httpsapublicaorg	2018-08-27	milhõ família recebia bolsa família governo golpista temer psdb ameaçado programa mil domicílio deixaram receb benefício	plano governo luiz inácio lula silva pt afirma milhõ família recebia bolsa família governo golpista temer psdb ameaçado programa mil domicílio deixaram receb benefício	lula acerta sobr cort temer bolsa família programa cresceu agência pública	7.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamostuiteboriscasoy	httpspiauifolhauolcombrlupa	2019-04-05 17:23:55	president siga firm missão deu povo confiou combata foro paulo renda mídia esquerdista dê espaço oportunista plantão	empti	verificamo tuít pede bolsonaro renda mídia esquerdista bori casoy	4.0	6	falso
httpsaosfatosorgnoticiasefalsoqueacmmorreuemacidentedehelicopteroaposcriticarlula	httpswwwaosfatosorg	2019-06-24	acm morreu julho acident helicóptero pouca semana ant fez pronunciamento tribuna senado plena vigência mandato lula hoje havia sido divulgado veja diss	verdad senador antônio carlo magalhã morto acident helicóptero julho semana fazer pronunciamento senado contra então president lula além ter morrido devido falência múltipla órgão discurso acm realizado junho ano ant data mort julho	falso acm morreu acident helicóptero semana apó criticar lula fato	1.0	5	falso
httpsaosfatosorgnoticiassitecopiaedistorcereportagemparafavorecerbolsonaro	httpswwwaosfatosorg	2018-07-20	político rejeitam bolsonaro aceitar associar partido envolvido corrpução	portal veja agora public última quintafeira umtexto cujo título suger maneiraenganosa précandidato presidência jair bolsonaro psl conseguiu consolidar aliança chapa porqu aceitar associar partido envolvido corrupçãoo conteúdo postagem conta outra história porém site copia trecho reportagen site jornalístico profissionai jornal el paí narrar fracasso negociaçõ organização chapa presidenci diz exemplo negociaçõ prque dono segundo horário eleitor naufragaram nesta terçafeira jogou terra única esperança aliado militar nutriam ter tempo significativo propaganda rádio televisão nanico psl dá bolsonaro mísero oito segundo trecho inteiro cópia reportagem assinada jornalista ricardo della coletta materi veja agora qualquer atribuição autor	site copia distorc reportagem favorec bolsonaro fato	1.0	5	falso
httpsapublicaorgtrucotucanoacertaaoalertarparadesastrenaquedadopib	httpsapublicaorg	2016-07-04	poderemo ter trê ano queda pib algo nunca ant experimentado economia	deputado feder silvio torr psdbsp secretárioger partido durant discurso feito plenário câmara dia junho diss pode trê ano queda pib algo nunca ant experimentado economia	tucano acerta alertar desastr queda pib agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucochecamosfrasesdavotacaodadenunciacontratem	httpsapublicaorg	2017-08-02	apesar decisão câmara denúncia contra temer vai prosseguir deixar cargo	deputado feder paulo abiackel psdbmg relat parec rejeita denúncia contra temer afirm decisão câmara altera destino denúncia oferecida contra president michel temer procuradorger república rodrigo janot analisada temer deixar cargo	checamo frase votação denúncia contra temer agência pública	8.0	8	verdadeiro
httpsaosfatosorgnoticiasnaoeverdadequereitoresdaufrjdesviaramrmilhoesemverba	httpswwwaosfatosorg	2019-05-08	ano ufrj r milhõ evaporaram ninguém sabe ninguém viu roubaram mínimo barato r milhõ	falso dez ano reitor ufrj universidad feder rio janeiro desviaram r milhõ verba pública afirma vídeo regina villela youtub candidata derrotada deputada feder psl ceará última eleiçõ única ocorrência dest tipo mpf ministério público feder denunci exreitor aloísio teixeira carlo antônio levi conceição improbidad administrativa acus desvio r milhõ valor dez veze inferior citado gravação	verdad reitor ufrj desviaram r milhõ verba fato	1.0	5	falso
httpsapublicaorgtrucoasvesperasdaprivatizacaocompanhiadeaguadoriodalucro	httpsapublicaorg	2017-03-27	ceda empresa deficitária tendo lucro rio janeiro paga pouco serviço	reunião lídere comunitário fevereiro prefeito rio marcelo crivella prb afirm companhia estadu gua esgoto rio janeiro ceda deficitária dando lucro diss cidad paga pouco serviço ceda privatizada breve	s véspera privatização companhia água rio dá lucro agência pública	8.0	8	verdadeiro
httpspiauifolhauolcombrlupaverificamosdocinocencialula	httpspiauifolhauolcombrlupa	2018-05-16 12:00:30	tribun divulga documento prova inocência lula	empti	verificamo decisão tribun df prova inocência lula	4.0	6	falso
httpspiauifolhauolcombrlupaverificamoslulinhaaviao	httpspiauifolhauolcombrlupa	2019-01-10 16:55:08	avião filho lula us milhõ pago dinheiro povo brasileiro	empti	falso filho lula avião us milhõ	4.0	6	falso
httpsapublicaorgtrucodadosfalsoseomissoesmarcamestatutodoarmamento	httpsapublicaorg	2017-10-27	baixa taxa solução homicídio brasil	justificativa projeto estatuto armamento senador wilder morai ppgo afirm taxa solução homicídio brasil fica	dado falso omissõ marcam estatuto armamento agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamosadvogadoadeliolula	httpspiauifolhauolcombrlupa	2018-11-16 20:12:45	advogado adélio audiência lula imagem	empti	verificamo falso advogado agressor bolsonaro audiência lula	4.0	6	falso
httpsaosfatosorgnoticiasnaoeverdadequemanifestantesficaramnusemprotestocontrabolsonaro	httpswwwaosfatosorg	2018-10-06	aluno protestam roupa contra candidato bolsonaro	manifestação pessoa pelada ufmg universidad feder mina gerai foto viraliz facebook legenda vejam pessoal campu ufmg tirou manhã hoje protestar contra bolsonaro verdad tirada melbourn austrália quas ano	verdad manifestant ficaram nu protesto contra bolsonaro fato	1.0	5	falso
httpsaosfatosorgnoticiasmaisumacorrentefalseiaresultadosdepesquisaseleitorai	httpswwwaosfatosorg	2018-10-28	ibop bolsonaro haddad band news bolsonaro haddad paraná pesquisa bolsonaro haddad record news haddad btg pactual bolsonaro haddad	acompanhada mensagem nãoaceitamosfraud imagem falseia número cinco pesquisa eleitorai sugerir nenhuma chanc jair bolsonaro psl ganhar eleiçõesa peça nada print conversa whatsapp filtro cima inventa número alguma pesquisa utiliza resultado velho outra inventa pesquisa	corrent falseia resultado pesquisa eleitorai fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosdinheirovenezuelainflacao	httpspiauifolhauolcombrlupa	2019-06-07 16:31:38	rua venezuela dinheiro sarjeta inútil bem vindo socialismo comunismo ond inflação tão alta dinheiro serv nada existem comércio empresário suportem	empti	verificamo falso dinheiro sido descartado venezuela desvalorização inflação	4.0	6	falso
httpsaosfatosorgnoticiasoeanaorealizoureuniaosecretacomptnaoecomandadaporvenezuelanosenemfiscalizaraeleico	httpswwwaosfatosorg	2018-10-27	sido acordo selado oea pt selado campanha jair bolsonaro	dua foto reunião pt equip oea brasil missão observação eleitor sendo distribuída rede sociai sugerindo registro acordo fraud eleitor alguma postagen dizem reunião secreta pretendia firmar acordo fraudar eleiçõesoutra imagen afirmamqu organização fiscalizará votação segundo turno alguma dizem equip venezuelana nada disso verdad além ter sido noticiada veículo estadão folha spaulo jornal nacion reunião objetivo apresentar denúncia fake news violência política oea tentou agendar reunião psl ainda conseguiu	oea fez reunião secreta pt comandada venezuelano fiscalizará eleiçõ fato	3.0	5	falso
httpspiauifolhauolcombrlupaverificamosflaviobolsonaroport	httpspiauifolhauolcombrlupa	2019-03-15 13:52:00	flávio bolsonaro envia projeto legaliza port arma brasil	empti	verificamo falso flávio bolsonaro proposto legalização port arma	4.0	6	falso
httpsaosfatosorgnoticiasimagemdistorcepromessasdebolsonarosobrecrech	httpswwwaosfatosorg	2018-10-25	ganhar acabo negócio crech comunitária estado obrigação olhar filho outro obrigação pai	fato candidato diss anteriorment aresponsabilidad relação educação infantiltem pai mãe jogar toda culpa cima estado porém possível extrapolar afirmar vai acabar negócio crech comunitáriana verdadebolsonaro diz favorável ampliação vaga crech meio parceria igreja sistema voucher ness esquemao estado repassa dinheiro família possam pagar escola particular	imagem distorc promessa bolsonaro sobr crech fato	3.0	5	falso
httpsaosfatosorgnoticiasefalsoquerodrigomaianaopodeserpresidentedacamaraporternascidonochil	httpswwwaosfatosorg	2019-03-25	rodrigo maia nasceu brasil pode president câmara	verdad president câmara rodrigo maia demrj nascido santiago chile falsa afirmação pode ocupar cargo atual publicaçõ trazem informação citam artigo constituição feder trata sobr nacionalidad	falso rodrigo maia pode president câmara ter nascido chile fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosprevidenciared	httpspiauifolhauolcombrlupa	2019-07-11 21:03:37	idad mínima aposentadoria atual	empti	verificamo sete boato doi fato sobr reforma previdência rede sociai	4.0	6	falso
httpsaosfatosorgnoticiasvideoenganaaodizerquedatafolhanaoentrevistoueleitordebolsonaro	httpswwwaosfatosorg	2018-10-27	datafolha qui entrevistar porqu bolsonaro	vídeo publicado perfil pessoal facebook afirma maneira falsa pesquisador instituto datafolha recus entrevistar eleitor ofereceu entrevistado porqu declarava voto jair bolsonaro psl verdad princípio estatístico pesquisador podem abordar eleitor oferecem	vídeo engana dizer datafolha entrevist eleitor bolsonaro fato	1.0	5	falso
httpsapublicaorgtrucometadedapopulacaonaotemacessoacoletadeesgoto	httpsapublicaorg	2018-09-04	milhõ pessoa utilizam medida alternativa fossa esgoto céu aberto despejar dejeto	joão goulart filho ppl plano governo registrado tribun superior eleitor tse afirm milhõ pessoa utilizam medida alternativa fossa esgoto céu aberto despejar dejeto	metad população acesso coleta esgoto agência pública	8.0	8	verdadeiro
httpsaosfatosorgnoticiaslulanaoeodonodojornalfolhadespaulo	httpswwwaosfatosorg	2018-11-06	lula detém açõ folha spaulo	documento junta comerci paulo consultado fato mostram membro família fria único acionista empresa própria folha spaulo desmentiu informação texto publicado site diss folha editada empresa folha manhã sa pertenc família fria oliveira	lula dono jornal folha spaulo fato	1.0	5	falso
httpsaosfatosorgnoticiasdeclaracoesdemarinaaglobonewssaodistorcidasempublicacaodesit	httpswwwaosfatosorg	2018-08-01	marina silva diss globonew nenhum brasileiro fica feliz ver lula preso	conhecido difusor notícia falsa distorcida site notícia brasil onlin agora manipula tira contexto declaraçõ précandidata rede sustentabilidad presidência república marina silva entrevista globonew nesta terçafeira fazer parec posicion contrariament prisão expresident luiz inácio lula silva pt pregou brasileiro direito legítima defesa	declaraçõ marina globonew distorcida publicação site fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamospontebolsonaro	httpspiauifolhauolcombrlupa	2019-05-27 17:56:55	globo vai mostrar terceira pont espírito santo chora oposição	empti	verificamo antiga foto pont tomada manifestant próbolsonaro es	4.0	6	falso
httpsapublicaorgtrucochecamosargumentosproecontraoimpeach	httpsapublicaorg	2016-04-14	fato lá relacionado delação premiada delcídio amar pasadena todo outro anterior atual mandato própria decisão president câmara poderiam ter sido juntado	josé eduardo martin cardozo ministro advocaciager união encarregado defesa president dilma afirm tentativa incluir delação senador delcídio amar partidom pedido impeach	checamo argumento pró contra impeach agência pública	7.0	8	inconclusivo
httpsaosfatosorgnoticiascurriculodeprofessorauniversitariadoamazonaseatribuidoamulherdovicepresidentemourao	httpswwwaosfatosorg	2019-01-04	esposa mourão criticada vestido segu currículo	peça traz informaçõ doutorado medicina tropic universidad brasília membro comitê tica pesquisa fmthvd desd lidera grupo pesquisa núcleo investigação arboviros roboviros viros emergent amazona copia informaçõ currículo latt doutora maria paula gome mourão	currículo professora universitária amazona atribuído mulher vicepresident mourão fato	1.0	5	falso
httpsaosfatosorgnoticiaspoliciafederalnaovaiprenderartistasquereceberamdaleirouanet	httpswwwaosfatosorg	2018-06-19	bomba pf pode prender todo artista receberam dinheiro lei rouanet	texto recicla reportagem publicada site estado spaulo junho ofício delegado polícia feder forçatarefa lava jato curitiba solicit ministério transparência informaçõ sobr cem maior beneficiário lei rouanet ano pedido porém previa prisão ninguém além disso jornal paí omit hora estadão public solicitação pf anulada juiz sérgio moro	polícia feder vai prender artista receberam lei rouanet fato	1.0	5	falso
httpsaosfatosorgnoticiasefalsacapadavejaemquejoaquimbarbosapedeparanaovotaremnopt	httpswwwaosfatosorg	2018-10-28	capa veja mostra joaquim barbosa pedindo população vote pt	primeiro indício imagem montada tamanho logotipo editora abril aparec bem maior padrão capa revista tamanho texto font utilizada fato apena matéria destaqu fogem padrão publicação além disso nenhuma ediçõ publicada veja julho data montagem trazia imagem capa	falsa capa veja joaquim barbosa pede votarem pt fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamoszecadirceu	httpspiauifolhauolcombrlupa	2019-04-11 18:46:12	zeca tchutchuca aug militância enquanto papai preso	empti	verificamo jovem seminu manifestação zeca dirceu	4.0	6	falso
httpsapublicaorgtrucoquasetodososcrimesviolentostemrelacaocomdroga	httpsapublicaorg	2016-07-07	droga responsávei crime violento paí	delegado edson moreira prmg discurso câmara dia junho afirm droga responsávei crime violento paí	quas todo crime violento têm relação droga agência pública	1.0	8	falso
httpsaosfatosorgnoticiasfotosdemanifestacoesantigasviralizamcomosefossemdeatosprogoverno	httpswwwaosfatosorg	2019-05-27	brasil povo brasileiro	imagen manifestaçõ ocorrida montagem voltou circular rede sociai retratassem mobilizaçõ favor governo feder nest domingo trê foto constam post facebooksão ato apoio candidatura presidenci jair bolsonaro setembro ano passado umaé protesto impeach dilma rousseff pt março	foto manifestaçõ antiga viralizam ato prógoverno fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamoswyllysgleisirosarioeleito	httpspiauifolhauolcombrlupa	2018-10-08 11:38:28	gleisi hoffmann jean wylli maria rosário dilma rousseff imagem	empti	verificamo falso jean wylli gleisi maria rosário eleito	4.0	6	falso
httpspiauifolhauolcombrlupaverificamostsecodigosurnasvenezuela	httpspiauifolhauolcombrlupa	2018-09-18 20:05:50	tse entreg código segurança urna eletrônica venezuela negou acesso auditor brasileiro	empti	verificamo tse entreg código urna eletrônica venezuela	4.0	6	falso
httpsapublicaorgtrucoemeconomiabolsonarocitadadosfalsosehaddadsubestimaeacerta	httpsapublicaorg	2018-10-26	hoje classificação brasil superior época fernando henriqu cardoso	fernando haddad pt entrevista roda viva tv cultura diss hoje classificação brasil superior época fernando henriqu cardoso	economia bolsonaro cita dado falso haddad subestima acerta agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucopaulorabelloacertagastoemeducacaoeerramortesdenegro	httpsapublicaorg	2018-07-26	brasil cerca milhõ pessoa desalentada	presidenciável paulo rabello psc afirm brasil cerca milhõ pessoa desalentada	paulo rabello acerta gasto educação erra mort negro agência pública	4.0	8	falso
httpspiauifolhauolcombrlupaverificamoslulaexdelegadocortoudedo	httpspiauifolhauolcombrlupa	2019-06-17 18:11:54	bomba delegado revela livro lula cortou próprio dedo ter trabalhar	empti	verificamo falso lula dito exdelegado cortou próprio dedo ter trabalhar	4.0	6	falso
httpspiauifolhauolcombrlupaverificamoscartazerrosortografia	httpspiauifolhauolcombrlupa	2019-06-05 16:22:47	favor cort educassão governo ivesti muinto sic	empti	verificamo montagem cartaz erro ortografia ato próbolsonaro	4.0	6	falso
httpsapublicaorgtrucoimagemsobretrajetoriadepedroparentefazacusacoesfalsa	httpsapublicaorg	2018-06-06	collor confisc poupança parent ministério fazenda	mensagem whatsapp afirma collor confisc poupança parent ministério fazenda	imagem sobr trajetória pedro parent faz acusaçõ falsa agência pública	1.0	8	falso
httpsapublicaorgtrucodadosfalsoseomissoesmarcamestatutodoarmamento	httpsapublicaorg	2017-10-27	estado brasileiro maior número arma registrada possuem menor taxa homicídio paí acr rio grand sul roraima santa catarina mato grosso possuem arma registrada homicídio passo pernambuco bahia ceará sergip maranhão detêm arma registrada número homicídio dado	justificativa projeto estatuto armamento senador wilder morai ppgo afirm estado brasileiro maior número arma registrada possuem menor taxa homicídio paí	dado falso omissõ marcam estatuto armamento agência pública	3.0	8	falso
httpsaosfatosorgnoticiasfotodekeanureevesrodeadodegatosemontagem	httpswwwaosfatosorg	2019-06-04	ator americano keanu reev salva gato eutanásia	site publicaçõ rede sociai têm veiculado verdadeira montagem ator keanu reev aparec rodeado gato foto começ circular internet esteira meme sad keanu keanu trist inglê agora aparec ilustrando texto sustentam durant viagen reev costuma salvar gato eutanásia fato encontr evidência comprovemessa afirmação	foto keanu reev rodeado gato montagem fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamoscarmendodgegleisi	httpspiauifolhauolcombrlupa	2018-05-17 15:23:40	cármen lúcia raquel dogd acabam pedir prisão emediata sic gleisi hoffmann	empti	verificamo pgr cármen lúcia pediram prisão imediata gleisi	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosfamiliadeassaltantemortoemspnaopediuprisaodemaepm	httpspiauifolhauolcombrlupa	2018-05-18 15:01:15	segundo advogado pmmãe deve autuada homicídio cruel possibilidad defesa vítima poi excedido reação	empti	verificamo família assaltant morto sp pediu prisão mãepm	4.0	6	falso
httpsapublicaorgtrucoemartigoescritodaprisaoluladistorcedado	httpsapublicaorg	2018-05-25	juiz sérgio moro conden ano prisão ato indeterminado	artigo le mond expresident luiz inácio lula silva pt diss juiz sérgio moro conden ano prisão ato indeterminado	artigo escrito prisão lula distorc dado agência pública	7.0	8	inconclusivo
httpsaosfatosorgnoticiasfotodeengarrafamentonachinaviralizacomosefosseprotestonaalemanha	httpswwwaosfatosorg	2019-05-02	alemanha governo subiu preço combustível apena hora tempo pessoa abandonaram carro rua avenida pé casa milhão carro abandonado baixar preço povo inteligent corrupto conseguem concretizar objetivo	foto tirada durant engarrafamento shenzhen china setembro sido difundida rede sociai retratass protesto alemanha contra alta preço combustívei falsa atribuição post publicado perfil pessoal facebook novembro voltou ganhar força rede último dia tendo sido replicada série nesta quintafeira apeça desinformação reunia milhão compartilhamento	foto engarrafamento china viraliza protesto alemanha fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosguedesfaculdad	httpspiauifolhauolcombrlupa	2019-01-25 17:01:28	concordo bolsonaro filho pobr tara fazer faculdad dinheiro pra pagar venha dar despesa governo faça outra coisa vida paulo gued	empti	verificamo falso paulo gued diss filho pobr tara faculdad	4.0	6	falso
httpsaosfatosorgnoticiaspadrefabiodemelonaoescreveuquearmasnaomatamoquemataeausenciadeamor	httpswwwaosfatosorg	2019-03-18	padr fábio melo melhor texto li sobr acontecimento ontem cansado perplexo tanta baboseira falsa justificativa pra atrocidad ainda surpreendem todo dia	escrito padr fábio melo texto circula rede sociai atribui ausênciad amor massacr escola raul brasil suzano sp deixou dez morto semana passada mensagemminimiza importância arma fogo ataquea tiro dizer arma matam mata ausência amor twitter religioso negou autoria texto	padr fábio melo escreveu ‘ arma matam mata ausência amor ’ fato	1.0	5	falso
httpsaosfatosorgnoticiasdatafolhanaocomputouparahaddadvotodeclaradoembolsonaro	httpswwwaosfatosorg	2018-10-27	datafolha comput haddad voto declarado bolsonaro	verdad segundo instituto pesquisadora aplic questionário cometeu erro corrigido entrevistado segundo datafolha voto computado bolsonaro	datafolha comput haddad voto declarado bolsonaro fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosdamarestwitt	httpspiauifolhauolcombrlupa	2019-02-01 17:32:08	camarada comunista dando lacr ministra goiaba	empti	falso perfil damar discutiu militant twitter	4.0	6	falso
httpsapublicaorgtrucochecamosfrasessobreimpeachmenteplanosdetem	httpsapublicaorg	2016-04-29	motivo mesmo michel temer exercício presidência assin decreto orçamentário portanto michel temer deve respond nesta casa comissão semelhant àquela feita presidenta dilma	deputado feder paulo pimenta ptr afirm motivo pedido impeach dilma temer mesmo	checamo frase sobr impeach plano temer agência pública	7.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamosoabprovaordem	httpspiauifolhauolcombrlupa	2018-05-26 10:12:23	oab decid aprovar todo candidato fariam prova domingo	empti	verificamo falso oab aprovará todo fariam prova	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosadeliolula	httpspiauifolhauolcombrlupa	2018-11-12 19:28:04	olha aí adélio bispo braço dado quadrilha	empti	homem braço dado lula dilma foto adélio	4.0	6	falso
httpsapublicaorgtrucochecamosargumentosproecontraoimpeach	httpsapublicaorg	2016-04-14	crime responsabilidad fato tipifiqu crime responsabilidad sistema presidencialista estado democrático direito pode cassação mandato president república chefe estado chefe governo pode impeach	josé eduardo martin cardozo ministro advocaciager união encarregado defesa president dilma afirm crime responsabilidad pode cassação mandato president república	checamo argumento pró contra impeach agência pública	7.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamosfreixocartazesquerdaderrubarbolsonaro	httpspiauifolhauolcombrlupa	2019-06-28 09:58:06	único objetivo esquerda derrubar governo bolsonaro brasil dane	empti	verificamo montagem foto freixo cartaz dizendo único objetivo esquerda derrubar governo bolsonaro	4.0	6	falso
httpsaosfatosorgnoticiashomememfotocombolsonaronaoeexpmsuspeitodeassassinarmariel	httpswwwaosfatosorg	2019-03-12	sabem óculo sol aparentement faz segurança bolsonaro chama ronni lessa apert gatilho contra mariel	apontado publicaçõ rede sociai ronni lessa expm suspeito assassinar vereadora mariel franco psolrj homem aparec foto president jair bolsonaro psl verdad sargento pm paulo rogério praxed marcolino	homem foto bolsonaro expm suspeito assassinar mariel fato	1.0	5	falso
httpsapublicaorgtrucoemvideofalsobonnerdizahaddadquebolsonaronaoeinvestigado	httpsapublicaorg	2018-09-17	haddad pessoa hoje vida pública investigada bonner jair bolsonaro psl	videomontagem sobr entrevista fernando haddad pt jornal nacion coloca diz haddad pergunta pessoa hoje vida pública investigada bonner respond jair bolsonaro psl	vídeo falso bonner diz haddad bolsonaro investigado agência pública	1.0	8	falso
httpsaosfatosorgnoticiastrumpnaopublicoutweetemapoiobolsonaro	httpswwwaosfatosorg	2018-10-08	engraçado ver mídia brasileira fake news tentando descreditar candidatura jair bolsonaro errado cara único candidato presidenci respeitoso lei honesto decent confiável brasil faça brasil bom novo brasil acima tudo deu acima todo inglê	falso tweet donald trump apoia candidatura presidenci jairbolsonaro diz coisa make brazil great again faça brasil bom novo inglê afirma bolsonaro único candidato honesto decent brasil tweet nunca publicado conta ofici president americano	trump public tweet apoio bolsonaro fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamoshelicopterosisrael	httpspiauifolhauolcombrlupa	2019-04-03 16:12:44	papai bolsonaro mandou vir dess aí sistema mira câmera coisa outro mundo chegaram doi aqui rio janeiro hoje	empti	verificamo falso brasil comprou ganhou israel helicóptero militar	4.0	6	falso
httpsapublicaorgtrucobolsonaroehaddaderramdadossobresegurancapublica	httpsapublicaorg	2018-10-25	preso hoje custa r mil ano estado	fernando haddad pt entrevista rádio jovem pan diss preso hoje custa r mil ano estado	bolsonaro haddad erram dado sobr segurança pública agência pública	4.0	8	falso
httpspiauifolhauolcombrlupaverificamosmanifestacoesgoverno	httpspiauifolhauolcombrlupa	2019-07-02 07:01:41	av paulista hoje	empti	verificamo foto manifestaçõ lotada ato prógoverno junho	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosbolsonarosuica	httpspiauifolhauolcombrlupa	2019-01-10 15:20:57	polícia feder descobr bolsonaro r milhõ conta suíça	empti	falsa notícia pf descobriu conta secreta bolsonaro suíça	4.0	6	falso
httpspiauifolhauolcombrlupaverificamostanquesbrasilvenezuela	httpspiauifolhauolcombrlupa	2019-02-27 18:11:29	urgent agora pouco brasil posiciona tanqu guerra fronteira venezuela	empti	verificamo vídeo mostra tanqu guerra fronteira venezuela	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosmarciofrancahaddad	httpspiauifolhauolcombrlupa	2018-10-12 17:00:30	márcio frança declar voto haddad imagem	empti	verificamo márcio frança declar voto haddad	4.0	6	falso
httpsapublicaorgtrucoblefesemeiasverdadessobreopres	httpsapublicaorg	2016-02-26	présal descoberto agora présal produzindo quas milhão barrisdia ano ano completo produzindo milhão barrisdia présal princip font lucro hoje petrobra	senadora gleisi hoffmann ptpr afirm présal produzindo quas milhão barrisdia	blefe meiasverdad sobr présal agência pública	4.0	8	falso
httpsapublicaorgtrucoblefesdodiscursoderomerojucanosenado	httpsapublicaorg	2016-05-24	conversa exsenador sérgio machado conversa tido imprensa diss senador sérgio machado diss página amarela veja revista poca dito jornalista discurso plenário	discursar senado sobr gravaçõ conversa expresident transpetro sérgio machado senador romero jucá pmdbrr diss diálogo apena reproduz dito imprensa	blefe discurso romero jucá senado agência pública	1.0	8	falso
httpsaosfatosorgnoticiasnaohafontesqueprovemexistenciadeaudioemquemoroxingabolsonaro	httpswwwaosfatosorg	2019-06-25	áudio moro diz imbecil president dallagnol respond infelizment ameba única escolha bozo	publicaçõ rede sociai afirmam áudio ministro justiça sergio moro procurador deltan dallagnol referido president jair bolsonaro psl imbecil ameba veja aqui font atestem veracidad desta informação próprio post trazem gravação alardeiamao fato identific referência embasem tal informação consta reportagen publicada the intercept brasil base troca mensagen moro dallagnol aplicativo telegram site negou nesta terçafeira divulgado conversa desta forma conteúdo classificado falso	font provem existência áudio moro xinga bolsonaro fato	1.0	5	falso
httpsapublicaorgtrucomarinasilvausadadosfalsoseimprecisosemdiscurso	httpsapublicaorg	2017-12-19	metad joven entram ensino médio concluem	discurso apresentação précandidatura presidência marina silva rede afirm metad joven entram ensino médio concluem estudo	marina silva usa dado falso impreciso discurso agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamosmaiachilebrasileiro	httpspiauifolhauolcombrlupa	2019-03-25 17:38:16	pode president câmara	empti	verificamo falso rodrigo maia pode presidir câmara porqu nasceu chile	4.0	6	falso
httpsaosfatosorgnoticiassenadorcontaratonaodissequelavajatodeveriaseranulada	httpswwwaosfatosorg	2019-06-24	lava jato árvore podr deve anulada todo julgamento condenaçõ afirm senador rede	senador fabiano contarato rede diss julgamento condenaçõ decorrent operação lava jato deveriam anulado conform publicação circula rede veja aqui acordo postagem afirmação sido feita durant sessão ccj comissão constituição justiça cidadania senado recebeu ministro justiça segurança pública sergio moro dia junho entanto registro declaração semelhant naquel momento senador emitiu nota nega tal afirmação	senador contarato diss lava jato deveria anulada fato	1.0	5	falso
httpsaosfatosorgnoticiasagressordebolsonaronaosaiuemfotoaoladodelula	httpswwwaosfatosorg	2018-09-06	homem tentou matar bolsonaro petista seguidor lula	montagem portanto falsa imagem retrata responsável ataqu bolsonaro ato político expresident luiz inácio lula silva veja montagemaqui imagem origin autoria fotógrafo ricardo stuckert instituto lula consta série reportagen vário site jornai comoo globoegazeta rápida busca ferramenta pesquisa reversa googl traz imagem origin reproduzida abaixo	agressor bolsonaro saiu foto lado lula fato	1.0	5	falso
httpsaosfatosorgnoticiaspaloccinaoafirmouemdelacaoqueurnasforamencomendadasparafraudareleico	httpswwwaosfatosorg	2018-10-07	palocci afirm eleiçõ decidida cúpula urna encomendada fraudar eleiçõ tse vai dizer agora	verdad exministro petista antonio palocci afirm acordo delação premiada queurna eletrônica encomendada fraudar eleiçõ íntegra pública delação pode lida aqui traz qualquer página menção urna urna eletrônica fraud votaçõ	palocci afirm delação urna encomendada fraudar eleiçõ fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosbolsonarofilho	httpspiauifolhauolcombrlupa	2018-10-02 21:45:28	pai tira vida filho gay questão familiar acho estado deva intromet julgar atitud pai desesperado imagem	empti	fala flávio bolsonaro sobr assassinato filho gay falsa	4.0	6	falso
