URL	Author	datePublished	claimReviewed	reviewBody	title	ratingValue	bestRating	alternativeName
httpsapublicaorgtrucochecamosfrasesdavotacaodadenunciacontratem	httpsapublicaorg	2017-08-02	próprio laudo ofici afirma existência interrupçõ interrupçõ deram ensejo naturalment deturpação gravação enxerto série vácuo nessa gravação	discurso câmara deputado advogado michel temer antonio mariz oliveira afirm laudo sobr gravação temer aponta interrupçõ mostram deturpação enxerto série vácuo gravação	checamo frase votação denúncia contra temer agência pública	3.0	8	falso
httpsaosfatosorgnoticiasufrjaindanaorecebeurmilhoesdobndespararestaurarmuseunacionalpostnofacebookdistorceinformacao	httpswwwaosfatosorg	2018-09-03	irônico ufrj recebeu grana fort bnde junho restaurar museu agora pergunta ufrj ond grana vai pergunta	contrário afirma postagem feita página ministério defesa meme ufrj recebeu grana fort bnde junho restaurar museu verdad naquel mê apena assinado contrato repass investimento banco museu nacion via lei rouanet nenhum valor desembolsado ocasião nota publicada nesta segundafeira bnde afirm primeira parcela total acertado r milhõ feita outubro justament servir projeto executivo combat incêndio instituição complet ano valor restant repassado museu parcela longo quatro ano	ufrj ainda recebeu r mi bnde restaurar museu nacion post distorc informação fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosmisseisfronteira	httpspiauifolhauolcombrlupa	2019-03-01 16:39:00	exclusivo venezuela posiciona míssei s fronteira brasil	empti	verificamo antiga foto mostra míssei fronteira brasil	4.0	6	falso
httpsapublicaorgtrucoemfrasesdoscandidatosoqueecertoeerradosobreeducacao	httpsapublicaorg	2018-08-16	aluno prouni têm desempenho melhor colega	luiz inácio lula silva pt afirm aluno prouni têm desempenho melhor colega	frase candidato certo errado sobr educação agência pública	8.0	8	verdadeiro
httpspiauifolhauolcombrlupaverificamosministroeducacaodoutor	httpspiauifolhauolcombrlupa	2019-04-08 13:34:31	abraham weintraub doutor	empti	verificamo novo ministro educação título ofici doutor	4.0	6	falso
httpsapublicaorgtrucopldoabortosebaseiaemdadosincorreto	httpsapublicaorg	2017-07-19	realizado estudo dra priscila coleman professora desenvolvimento humano estudo familiar bowl green state univers ond mulher participaram objetivo descobrir diferença adolescent tido filho praticado aborto diant gravidez inesperada resultado realizaram aborto cinco veze necessidad ajuda psicológica filho pesquisadora constat prejuízo psicológico realiz aborto maior condução gravidez	texto justificativa pl deputada distrito feder celina leão pp afirma estudo pesquisadora norteamericana priscila coleman demonstram prejuízo psicológico mulher adolescent realizaram aborto maior comparação submeteram procedimento	pl aborto baseia dado incorreto agência pública	1.0	8	falso
httpsapublicaorgtrucocorrentenowhatsappmentesobremudancanoimpostoderenda	httpsapublicaorg	2017-02-23	imposto renda decreto aumenta alíquota imposto renda reajust ating diretament class média querer cortar gasto governo exuberant incompetência quer sempr repassar população assim moleza roubam administram mal dão conta pagar pass adiant cada pessoa passar amigo setor diferent repass atingiremo milhõ brasileiro vamo tirar minuto mudar brasil defend família suado dinheiro fiz part faça	corrent autoria desconhecida viraliz whatsapp afirma governo quer aumentar alíquota máxima imposto renda	corrent whatsapp ment sobr mudança imposto renda agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamospalocciurna	httpspiauifolhauolcombrlupa	2018-10-07 10:32:02	palocci afirm eleiçõ decidida cúpula urna encomendada fraudar eleiçõ tse vai dizer agora	empti	verificamo delação palocci cita manipulação urna eletrônica	4.0	6	falso
httpsapublicaorgtrucochecamosfrasesderodrigomaiasobrecunhacpmfbolsafamiliaecris	httpsapublicaorg	2016-07-22	pessoa muita cidad brasil deixam assinar carteira trabalho receb bolsa família recebem salário	entrevista programa roda viva tv cultura president câmara rodrigo maia demrj afirm pessoa muita cidad deixam assinar carteira trabalho receb bolsa família	checamo frase rodrigo maia sobr cunha cpmf bolsa família crise agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamosbeneditasilvaembaixadoranovayork	httpspiauifolhauolcombrlupa	2019-07-22 13:43:25	sabia benedita silva embaixadora new york inglê falava	empti	verificamo falso benedita silva embaixadora nova york	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosbolsonarorevistajaponesa	httpspiauifolhauolcombrlupa	2019-02-20 19:09:50	enquanto japão capa revista retrata realidad atual imprensa brasileira	empti	falso revista japonesa feito capa criticando imprensa brasileira	4.0	6	falso
httpspiauifolhauolcombrlupaverificamospresidentenordest	httpspiauifolhauolcombrlupa	2019-01-11 13:19:48	afrontando bolsonaro sérgio moro governador bahia rui costa pt declara novo president república nordest brasil articula união nordest vermelho contra crime	empti	falso rui costa declarado president nordest	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosgleisicharli	httpspiauifolhauolcombrlupa	2019-01-17 15:53:50	petista sendo ridicularizado todo mundo veja capa jornal francê charli hebdo	empti	falsa capa charli hebdo satiriza gleisi hoffmann pt	4.0	6	falso
httpsapublicaorgtrucochecamosfrasesdejairbolsonaro	httpsapublicaorg	2017-04-05	massa atualment aposenta trê salário mínimo metad trê salário mínimo	acordo último boletim estatístico previdência social benefício concedido regim geral previdência social rgp equivalem salário mínimo ficam doi salário mínimo doi trê salário mínimo portanto benefício rgp encontras faixa mencionada	checamo frase jair bolsonaro agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucoaofalardobrasilcirogomesusadadosfalsoseexagerado	httpsapublicaorg	2018-04-17	brasil homicídio último doze mese	presidenciável ciro gome pdt afirm brasil homicídio último doze mese	falar brasil ciro gome usa dado falso exagerado agência pública	2.0	8	inconclusivo
httpsapublicaorgtrucomeirelleserraaodizerqueestadosnaocontratampoliciaishamaisdeano	httpsapublicaorg	2018-09-25	existem estado brasileiro ano contratar polici	henriqu meirel entrevista ebc diss existem estado brasileiro ano contratar polici	meirel erra dizer estado contratam policiai ano agência pública	1.0	8	falso
httpsapublicaorgtrucodadosfalsoseomissoesmarcamestatutodoarmamento	httpsapublicaorg	2017-10-27	tiroteio massa fizeram aproximadament vítima eua todo ano enquanto brasil média homicídio cometido arma fogo dia	justificativa projeto estatuto armamento senador wilder morai ppgo afirm tiroteio massa fizeram aproximadament vítima eua todo ano enquanto brasil média homicídio cometido arma fogo dia	dado falso omissõ marcam estatuto armamento agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamosbolsonaroemendamedico	httpspiauifolhauolcombrlupa	2018-11-19 19:21:45	dependent legai médico intercambista estrangeiro poderão exerc atividad remunerada emissão carteira trabalho previdência social ministério trabalho emprego	empti	verificamo verdad bolsonaro qui impedir familiar médico estrangeiro trabalhar brasil	4.0	6	verdadeiro
httpsaosfatosorgnoticiaspesquisadatafolhaqueapontaliderancadehaddadnuncafoifeita	httpswwwaosfatosorg	2018-09-05	desejo votar lula chega cenário petista haddad lidera bolsonaro mantém segunda posição cai índice alckmin	falso lula pesquisa datafolha realizada dia setembro falso haddad lidera cenário lula motivo simpl pesquisa nunca feita próprio diretor datafolha nega qualquer pesquisa realizadaness período	pesquisa datafolha aponta liderança haddad nunca feita fato	1.0	5	falso
httpsapublicaorgtrucochecamososprincipaiscandidatosavicepresident	httpsapublicaorg	2018-09-14	estado unido perderam mil homen guerra vietnã inteira gent perd todo ano	eduardo jorg pv candidato vicepresident chapa marina silva rede vídeo facebook afirm estado unido perderam mil homen guerra vietnã inteira brasil perd todo ano	checamo principai candidato vicepresident agência pública	8.0	8	verdadeiro
httpspiauifolhauolcombrlupaverificamosbolsonarolulamuseu	httpspiauifolhauolcombrlupa	2019-05-20 19:17:26	montagem olha cara paulo gued assistindo vídeo lula	empti	verificamo montagem foto bolsonaro assistindo vídeo lula museu	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosidosapresaestuprada	httpspiauifolhauolcombrlupa	2018-07-12 19:50:49	morr idosa presa pagar pensão neto sofreu estupro cadeia	empti	verificamo falsa notícia sobr idosa presa estuprada pagar pensão neto	4.0	6	falso
httpsapublicaorgtrucocorrentesdewhatsappespalhaminformacoesfalsassobrefebreamarela	httpsapublicaorg	2018-02-06	bula traz reaçõ dano meningit síndrome guillainbarré encefalopatia	corrent whatsapp sobr febr amarela diz bula vacina constam reaçõ dano colaterai meningit síndrome guillainbarré encefalopatia	corrent whatsapp espalham informaçõ falsa sobr febr amarela agência pública	4.0	8	falso
httpsaosfatosorgnoticiasefalsoquebolsonaroautorizouexecucaodedividabilionariadaredeglobo	httpswwwaosfatosorg	2019-06-13	bolsonaro autoriza execução dívida globo r bilhão imposto sonegado	verdad president jair bolsonaro autoriz execução dívida rede globo r milhõ imposto sonegado união segundo publicação blog foco news veja aqui cobrança corresponderia part montant r bilhão supostament devido emissora desd publicada dou diário ofici união último dia ocorreu	falso bolsonaro autoriz execução dívida bilionária rede globo fato	1.0	5	falso
httpsaosfatosorgnoticiaslulanaosugeriuassassinatodepalocciemaudiogravacaoefalsa	httpswwwaosfatosorg	2019-06-25	bombstico grampo revela lula queria assassinato palocci priso udio verdadeiro	falso áudio atribuído expresident luiz inácio lula silva pt sugeriria assassinato exministro fazenda antonio palocci além voz diferent petista gravaçãonão consta interceptaçõ telefônica autorizada justiça feder instituto lula negoua veracidad conteúdo	lula sugeriu assassinato palocci áudio gravação falsa fato	1.0	5	falso
httpsaosfatosorgnoticiaspesquisaatribuidaaobtgpactualtemnovaversaofalsa	httpswwwaosfatosorg	2018-10-27	urgent pesquisa track btg acab sair mercado financeiro bolsonaro haddad	instituição financeira nota inform fato pesquisa fake news além disso banco realiza pesquisa mercado financeiro informa corrent apena encomenda levantamento registrado tse instituto fsb pesquisassegundo corrent btg pactual realizado umtrackingtipo pesquisa opinião monitoramento interno empresa campanha política bolsonaro vantagem quas ponto percentuai cima haddad instituição financeira nota inform fato pesquisa fake news além disso banco diz realizar pesquisa mercado financeiro informa correnteapena encomenda levantamento registrado tse instituto fsb pesquisa	pesquisa atribuída btg pactual nova versão falsa fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamospiauienseprimeiranegraitamarati	httpspiauifolhauolcombrlupa	2018-08-20 09:36:36	piauiens primeira negra diplomata itamarati	empti	verificamo piauiens primeira negra diplomata itamarati	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosaeciogilmar	httpspiauifolhauolcombrlupa	2019-03-21 18:13:58	bomba atômica prest explodir pf intercepta ligação telefônica aécio gilmar mend confirmação crime ambo	empti	verificamo antiga confirma crime gravação conversa telefônica gilmar aécio	4.0	6	falso
httpsaosfatosorgnoticiasvideodetanquesdeguerranaofoigravadonafronteiracomvenezuela	httpswwwaosfatosorg	2019-02-28	urgent agora pouco brasil posiciona tanqu guerra fronteira venezuela	vídeo mostra movimentação tanqu exército curitiba pr sido compartilhado post rede sociai atual gravado fronteira brasil venezuela	vídeo tanqu guerra gravado fronteira venezuela fato	1.0	5	falso
httpsaosfatosorgnoticiaspostsenganamaodizerquevideomostramaeecriancasendoatacadasporpetista	httpswwwaosfatosorg	2018-09-13	mãe criança dentro veículo agredida terrorista esquerda apoiador lula haddad soment ter adesivo bolsonaro carro	trecho vídeo maio site g mostram manifestant camisa bandeira partido movimento esquerda atacando carro movimento têm sido publicado rede sociai história diferent notícia verdadeira imagen originai retratam momento carro atacado manifestant furar bloqueio protesto contra president michel temer mdb goiânia atropela meno dua pessoa segundo postagen veja aqui aquiqu viralizaram facebook último dia motorista mãe criança carro atacada apoiador pt haddad lula ter adesivo jair bolsonaro presidenciável psl colado carro verdad	vídeo mostra mãe criança dentro carro sendo atacada petista fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosbolsonarolibra	httpspiauifolhauolcombrlupa	2019-01-02 19:02:12	alguém avisa michel bolsonaro lei regulamenta profissão tradutor intérpret língua brasileira sinai libra maria rosário	empti	bolsonaro votou contra lei regulamenta profissão intérpret libra	4.0	6	verdadeiro
httpsapublicaorgtrucoemartigoescritodaprisaoluladistorcedado	httpsapublicaorg	2018-05-25	levamo milhõ class média	artigo le mond expresident luiz inácio lula silva pt diss levou milhõ class média	artigo escrito prisão lula distorc dado agência pública	5.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamosbolsonarolindbergh	httpspiauifolhauolcombrlupa	2019-01-25 17:00:49	eleitor bolsonaro flavio bolsonaro cair assum vaga lindbergh faria	empti	falso lindbergh voltaria senado flavio bolsonaro renunciass	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosestilistaternoslula	httpspiauifolhauolcombrlupa	2018-11-17 10:27:24	terno lula caro fiz president imagem	empti	verificamo estilista diss terno lula caro fez president	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosfatimaassaltant	httpspiauifolhauolcombrlupa	2018-05-18 19:36:28	fátima bernard faz surpresa reforma casa família ladrão morto mãepm	empti	verificamo globo reform casa família assaltant morto mãepm	4.0	6	falso
httpsapublicaorgtrucoflaviorochacitadadosfalsossobresegurancapublica	httpsapublicaorg	2018-05-15	política desarmamento deu certo	entrevista tv folha précandidato presidência flávio rocha prb diss estatuto desarmamento deu certo	flávio rocha cita dado falso sobr segurança pública agência pública	1.0	8	falso
httpsaosfatosorgnoticiasnaoedemulherqueempurroupadremarcelorossifotocomofiltroelenao	httpswwwaosfatosorg	2019-07-18	mulher empurr padr marcelo rossi	modificada digitalment incluir filtro foto servidorada ufm universidad feder mato grosso sul morreuno dia julho circulado rede sociai perfil facebook damulh empurrouo padr marcelo rossi durant missa último domingo	mulher empurr padr marcelo rossi foto filtro ‘ ’ fato	1.0	5	falso
httpsaosfatosorgnoticiasfotomostraossadasdevitimasdaditaduranaargentinanaonobrasil	httpswwwaosfatosorg	2019-03-27	bolsonaro motivo comemorar ditadura militarvala comun utilizada durant ditadura militaresem paulo arqueólogo escavaram vala peru utilizada descartar corpo durant ditadura militar ossada encontrada vc acha razõ comemorar data procur psicólogo	foto mostra ossada vítima ditadura argentina encontrada escavação córdoba sido falsament atribuída rede sociai resto mortai pessoa perseguidaspelo regim militar brasil enterrada vala cemitério dom bosco peru zona nort paulo	foto mostra ossada vítima ditadura argentina brasil fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosdrauziovarellaaguagelada	httpspiauifolhauolcombrlupa	2019-04-15 18:33:30	observaçõ dr drauzio varela	empti	verificamo falso drauzio varella fez alerta sobr malefício água gelada	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosbolsonarocamisasfutebol	httpspiauifolhauolcombrlupa	2018-12-04 19:15:24	montagem sei foto bolsonaro usando camisa time diferent imagem	empti	verificamo verdadeira foto bolsonaro camisa vário time	4.0	6	verdadeiro
httpspiauifolhauolcombrlupaverificamosbarracoloridaleit	httpspiauifolhauolcombrlupa	2019-07-09 17:17:32	dica pra compra leit condensado n leit condensado novo n venceu vez reprocessado n venceu veze reprocessado	empti	verificamo falso barra colorida caixa indica leit condensado vencido	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosbolsonaroatestado	httpspiauifolhauolcombrlupa	2018-11-21 18:20:42	lembrando bozo aposent usando atestado insanidad mental exército	empti	verificamo falso bolsonaro aposent exército atestado insanidad mental	4.0	6	falso
httpspiauifolhauolcombrlupaverificamoschargebolsonarotim	httpspiauifolhauolcombrlupa	2019-05-20 16:58:49	charg publicada revista americana time long melhor expressão vi sobr situação atual	empti	verificamo charg mostra bolsonaro protetor nação publicada revista time	4.0	6	falso
httpsapublicaorgtrucoverdadesementirasmisturamseemcorrentecontrahaddad	httpsapublicaorg	2018-10-18	haddad acusado enriquecimento ilícito caixa esquema empreiteira	corrent circula whatsapp diz haddad acusado enriquecimento ilícito caixa esquema empreiteira	verdad mentira misturams corrent contra haddad agência pública	8.0	8	verdadeiro
httpspiauifolhauolcombrlupaverificamosaposentadoriapolitico	httpspiauifolhauolcombrlupa	2018-11-09 20:48:26	aposentadoria josé sarney r temer r fhc joaquim barbosa r eliseu padilha r alvaro dia r dona antonia r ferra brasil dona antonia	empti	meme denuncia aposentadoria político apresenta dado falso	4.0	6	falso
httpsapublicaorgtrucopaulorabelloacertagastoemeducacaoeerramortesdenegro	httpsapublicaorg	2018-07-26	mil morrem ano faixa ano mort violenta	presidenciável paulo rabello psc afirm mil morrem ano faixa ano mort violenta	paulo rabello acerta gasto educação erra mort negro agência pública	8.0	8	verdadeiro
httpsaosfatosorgnoticiashomemqueagrediubolsonaronaoeassessornacampanhadedilmaaosenado	httpswwwaosfatosorg	2018-09-07	agressor bolsonaro assessor campanha dilma senado	verdad queadélio bispo oliveira acusado agredir candidato jair bolsonaro psl assessor campanha expresident dilma rousseff ptmg senado informação circula rede sociai desd noit desta quintafeira reproduzida conta ofici twitter pastor president assembleia deu vitória cristo sila malafaia entanto registro ligaçãoform oliveira campanha dilmaou pt	homem agrediu bolsonaro assessor campanha dilma senado fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamoslulagramadavo	httpspiauifolhauolcombrlupa	2019-01-24 17:43:05	lula caindo grama davo durant fórum janeiro	empti	verificamo falso lula caído grama visita fez davo	4.0	6	falso
httpsaosfatosorgnoticiasautordeataquejairbolsonaronaoefiliadoaopt	httpswwwaosfatosorg	2018-09-06	adélio bispo oliveira nome petista tentou matar jair bolsonaro hoje juiz filiado partido trabalhador	encontrado relação filiado divulgada tse nome adélio bispo oliveira ligado partido trabalhador estado mina gerai falsa afirmação agressor ligado pt	autor ataqu jair bolsonaro filiado pt fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosprotestoslula	httpspiauifolhauolcombrlupa	2019-06-02 06:03:52	resumo manifestaçõ hoje maio educação maconha sabem porqu ali lula livr	empti	verificamo faixa lula preso injustament usada protesto contra cort educação	4.0	6	falso
httpsapublicaorgtrucolevyfidelixexageraimpostosemmedicamento	httpsapublicaorg	2018-07-18	hoje população possuem renda nacion	précandidato presidência levi fidelix diss hoje população possuem renda nacion	levi fidelix exagera imposto medicamento agência pública	4.0	8	falso
httpsaosfatosorgnoticiasreformadaprevidencianaodiminuiuabonosalarialpispaseppelametad	httpswwwaosfatosorg	2019-07-17	aprovada redução pi r r parabén trabalhador pobr votou pediu ferrar faz arminha	verdad texto reforma previdência aprovado primeiro turno câmara deputado última quartafeira diminuiu valor abono salari pispasep saláriomínimo hoje r meno metad r afirmam publicaçõ rede sociai mudança feita valor benefício faixa renda direito	reforma previdência diminuiu abono salari pispasep metad fato	1.0	5	falso
httpsaosfatosorgnoticiasptnaoentroucomacaojudicialparabarrardobolsafamilia	httpswwwaosfatosorg	2019-04-12	pt entra ação derrubar decreto bolsonaro permit pobr acesso décimo terceiro salário programa bolsa família	falsa informação pt entrou ação judici barrar governo bolsonaro promet pagar beneficiário bolsa família ano partido negou fato nesta sextafeira ter ingressado processo ness sentido medida apena anunciada efetivament aplicada objeto derrubado ação justiçaa peça desinformação utiliza montagem sobr foto imagem origin vez cartaz contra parcela bolsa família petista seguravam placa frase abertura investigaçõ contra então president michel temer mdb	pt entrou ação judici barrar º bolsa família fato	1.0	5	falso
httpsapublicaorgtrucochecamososprincipaiscandidatosavicepresident	httpsapublicaorg	2018-09-14	desd constituição editada lei federai dia	gener hamilton mourão prtb candidato vicepresident chapa jair bolsonaro psl afirm desd constituição editada lei federai dia	checamo principai candidato vicepresident agência pública	1.0	8	falso
httpsapublicaorgtrucochecamosapolemicametafiscaldetem	httpsapublicaorg	2016-06-03	president dilma março dest ano mandou novament pedido pl modificado déficit fiscal r bilhõ quê mesma razão cassada impeach porqu pedal gastou dinheiro autorização legislativa fez movimentaçõ bancária devido respaldo constitucion legal	deputado feder duart nogueira psdbsp afirm president dilma março dest ano mandou novament pedido pl modificado déficit fiscal r bilhõ porqu pedal	checamo polêmica meta fiscal temer agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamospoupancamourao	httpspiauifolhauolcombrlupa	2018-10-06 20:55:50	mourão propõ confisco poupança	empti	verificamo gener mourão propô confisco poupança	4.0	6	falso
httpsapublicaorgtrucomarinasilvausadadosfalsoseimprecisosemdiscurso	httpsapublicaorg	2017-12-19	gravíssimo déficit público aument governo temer	discurso apresentação précandidatura presidência marina silva rede afirm déficit público aument governo temer	marina silva usa dado falso impreciso discurso agência pública	8.0	8	verdadeiro
httpspiauifolhauolcombrlupaverificamoslistabolsonaro	httpspiauifolhauolcombrlupa	2019-04-17 07:00:57	cancel compra caminhonet ibama veze cara	empti	verificamo publicação lista açõ bolsonaro trê mese sete verdadeira	4.0	6	falso
httpsapublicaorgtrucochecamososprincipaiscandidatosavicepresident	httpsapublicaorg	2018-09-14	segundo mercado consumidor droga mundo	gener hamilton mourão prtb candidato vicepresident chapa jair bolsonaro psl sabatina btg pactual afirm segundo mercado consumidor droga mundo	checamo principai candidato vicepresident agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamosuniversidadenu	httpspiauifolhauolcombrlupa	2019-04-10 15:54:43	efeito paulo freir educação aluno comemoram aniversário universidad roupa mídia diz coisa jovem	empti	verificamo foto estudant nu comemoração manifestação sia	4.0	6	falso
httpsapublicaorgtrucomaisdedosbrasileirosdependemdobolsafamilia	httpsapublicaorg	2018-08-30	brasileiro dependem bolsa família	joão amoêdo novo plano governo registrado tribun superior eleitor tse afirm brasileiro dependem bolsa família	brasileiro dependem bolsa família agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucoexageroseimprecisoesmarcamdiscursodelulaemcaravana	httpsapublicaorg	2017-11-21	saímo milhõ joven universidad milhõ	discurso encerramento caravana mina gerai expresident luiz inácio lula silva afirm saímo milhõ joven universidad milhõ	exagero imprecisõ marcam discurso lula caravana agência pública	7.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamoscirobolsonaro	httpspiauifolhauolcombrlupa	2019-06-01 06:00:43	reconheço esquerda centrão querem atrasar paí partir hoje bolsonaro	empti	verificamo falso ciro gome declarado apoio bolsonaro	4.0	6	falso
httpsaosfatosorgnoticiaseuanaopediramprisaodelulaedilmaaoinvestigarcorrupcaodaodebrecht	httpswwwaosfatosorg	2018-11-08	departamento justiça eua divulgam mundo toda corrupção lula dilma	verdad departamento justiça eua desvend participação expresident luiz inácio lula silva dilma rousseff pt esquema corrupção tampouco confirmada existência mandado prisão paí contra ambo informaçõ falsa constam publicação site imprensa viva voltou circular último dia forma corrent whatsapp	eua pediram prisão lula dilma investigar corrupção odebrecht fato	1.0	5	falso
httpsapublicaorgtrucoexageroseimprecisoesmarcamdiscursodelulaemcaravana	httpsapublicaorg	2017-11-21	meno estudant prouni bem meno estudant fie	discurso encerramento caravana mina gerai expresident luiz inácio lula silva afirm número aluno prouni fie diminuiu governo temer	exagero imprecisõ marcam discurso lula caravana agência pública	3.0	8	falso
httpspiauifolhauolcombrlupaverificamosflaviobolsonarogarcommortoassumiurisco	httpspiauifolhauolcombrlupa	2018-11-05 16:00:26	elemento negro andando perto favela guardachuva mão queria quê correu risco culpa polícia	empti	verificamo falso flávio bolsonaro dito garçom morto rj assumiu risco	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosprevidenciared	httpspiauifolhauolcombrlupa	2019-07-11 21:03:37	idoso pobreza extrema bpc aposentadoria atual salário mínimo reforma previdência r	empti	verificamo sete boato doi fato sobr reforma previdência rede sociai	4.0	6	falso
httpsapublicaorgtrucoonordestenaotevebeneficiosnarenegociacaodadivida	httpsapublicaorg	2016-07-08	estado nordest receberam nenhuma recompensa renegociação dívida união serem bon pagador apesar atravessarem período seca precedent	deputado feder leônida cristino pdtce afirm estado nordest receberam nenhuma recompensa renegociação dívida união serem bon pagador apesar atravessarem período seca precedent	nordest benefício renegociação dívida agência pública	7.0	8	inconclusivo
httpsaosfatosorgnoticiasefalsoquefilhodemotoristademariellenaotemdireitopensao	httpswwwaosfatosorg	2019-05-21	filha mariel vai ganhar pensão ano filho motorista	verdad filho anderson gome motorista vereadora mariel franco psolrj assassinado dia março direito pensão mort pai porqu anderson carteira assinada segundo informação falsa circula rede sociai apena filha mariel direito pensão inss completar ano	falso filho motorista mariel direito pensão fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamoslistabolsonaro	httpspiauifolhauolcombrlupa	2019-04-17 07:00:57	cortou mil cargo comissionado	empti	verificamo publicação lista açõ bolsonaro trê mese sete verdadeira	4.0	6	verdadeiro
httpsaosfatosorgnoticiasmontagemenganaaomostrarbolsonaroemmuseuvendovideodelula	httpswwwaosfatosorg	2019-05-20	melhor dia idiota inútil bolsonaro assistiu museu dalla imagem melhor president brasil lulaolha cara paulogued inveja despeito	montagem imagem president jair bolsonaro psl assist vídeo expresident luiz inácio lula silva pt museu dalla estado unido foto origin tirada dia maio mostra equip governo brasileiro visita museu the sixth floor conta história vida expresident americano john f kennedi inclus aparec tela observada bolsonaro	montagem engana mostrar bolsonaro museu vendo vídeo lula fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosartean	httpspiauifolhauolcombrlupa	2019-05-13 16:05:33	aluno universidad feder criam ateliêr sic art anal	empti	verificamo falso aluno universidad feder criado ateliê art anal	4.0	6	falso
httpsaosfatosorgnoticiaspfnaointerceptouremessadedolaresdecubaaoptemcaixasdemedicamento	httpswwwaosfatosorg	2018-11-30	polícia federalporto santo baú medicamento cheio bilhõ dolaresnosso dinheiro médico vai cuba agora volta financiar guerrilha armada pt vint petista preso flagrant repassem repassem brasil inteiro saber fizeram brasil destino maldad usado dinheiro disfarçado etiqueta medicamento cheio dólare espanto policiai	mesma caixa aparecem vídeo constam foto relatório encaminhado especialista conselho segurança onu trata outro assunto milhõ dólare espéci desapareceram líbia apó queda kadafi placa afixada tampa caixa trazem inscriçõ árabe data demonstra vínculo pt cuba	pf intercept remessa dólare cuba pt caixa medicamento fato	1.0	5	falso
httpsaosfatosorgnoticiasefalsoquetiteafirmouqueeleitoresdebolsonarosaoalienado	httpswwwaosfatosorg	2019-07-10	tite fala entrevista globo eleitor bolsonaro alienado	verdad tite técnico seleção brasileira masculina futebol diss entrevista tv globo eleitor jair bolsonaro alienado além fato ter identificado registro proferido tal declaração emissora qualquer outro meio comunicação assessoria treinador nega vem sendo compartilhado publicaçõ rede sociai	falso tite afirm eleitor bolsonaro ‘ alienado ’ fato	1.0	5	falso
httpsapublicaorgtrucodadosfalsoseomissoesmarcamestatutodoarmamento	httpsapublicaorg	2017-10-27	número arma fogo registrada estado unido veze maior número arma fogo registrada brasil	justificativa projeto estatuto armamento senador wilder morai ppgo afirm número arma fogo registrada estado unido veze maior número arma fogo registrada brasil	dado falso omissõ marcam estatuto armamento agência pública	7.0	8	inconclusivo
httpsapublicaorgtrucochecamosfrasessobreimpeachmenteplanosdetem	httpsapublicaorg	2016-04-29	president michel temer eleito eleito fazer exatament fazendo chegou lá acaso eleito fazer quê preparado substituir president caso vacância vacância poderia acontec doença falecimento renúncia acontecendo impeach carlo marun pmdbr	deputado feder carlo marun pmdbm afirm president michel temer eleito substituir president caso vacância vacância poderia acontec doença falecimento renúncia acontecendo impeach	checamo frase sobr impeach plano temer agência pública	7.0	8	inconclusivo
httpsaosfatosorgnoticiashaddadnuncadissequecabeaoestadodecidirsexualidadedecrianca	httpswwwaosfatosorg	2018-09-24	completar ano idad criança passa propriedad estado cabe decidir menino menina viceversa pai cabe acatar decisão respeitosament sabemo melhor criança fernando haddad	registro tal frase sido proferida haddad constat fato busca internet consulta assessoria presidenciável negou autoria mensagem present plano governo apresentado candidato maneira expressa conceitu	haddad nunca diss cabe estado decidir sexualidad criança fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosbolsonaromarunitaipu	httpspiauifolhauolcombrlupa	2019-03-01 13:03:03	bolsonaro indica marun diretoria itaipu	empti	verificamo falso bolsonaro indic marun cargo itaipu	4.0	6	falso
httpspiauifolhauolcombrlupaverificamoscearacrim	httpspiauifolhauolcombrlupa	2019-01-10 14:25:07	dálhe sérgio moro chefe crime organizado ceará levado prisão feder pouco super ministro justiça mostra força notem todo saudávei pronto fazerem estrada ferrovia	empti	verificamo falso chefe crime organizado ce transferido presídio feder	4.0	6	falso
